Predicate	ObjectType	Count
http://www.wikidata.org/prop/direct/P35	http://www.wikidata.org/entity/Q5	14
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q6256	14
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q1520223	14
http://www.wikidata.org/prop/direct/P6	http://www.wikidata.org/entity/Q5	14
http://www.wikidata.org/prop/direct/P38	http://www.wikidata.org/entity/Q8142	14
http://www.wikidata.org/prop/direct/P30	http://www.wikidata.org/entity/Q5107	14
http://www.wikidata.org/prop/direct/P17	http://www.wikidata.org/entity/Q3624078	14
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q43702	14
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q5255892	14
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q15634554	14
http://www.wikidata.org/prop/direct/P5125	http://www.wikidata.org/entity/Q26884324	14
http://www.wikidata.org/prop/direct/P910	http://www.wikidata.org/entity/Q4167836	14
http://www.wikidata.org/prop/direct/P1464	http://www.wikidata.org/entity/Q4167836	14
http://www.wikidata.org/prop/direct/P1465	http://www.wikidata.org/entity/Q4167836	14
http://www.wikidata.org/prop/direct/P1151	http://www.wikidata.org/entity/Q4663903	14
http://www.wikidata.org/prop/direct/P7867	http://www.wikidata.org/entity/Q4167836	14
http://www.wikidata.org/prop/direct/P1552	http://www.wikidata.org/entity/Q47185658	14
http://www.wikidata.org/prop/direct/P2633	http://www.wikidata.org/entity/Q46865913	14
http://www.wikidata.org/prop/direct/P1792	http://www.wikidata.org/entity/Q4167836	14
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q112099	14
http://www.wikidata.org/prop/direct/P1622	http://www.wikidata.org/entity/Q14565197	14
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q3624078	14
http://www.wikidata.org/prop/direct/P78	http://www.wikidata.org/entity/Q42032	14
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q245065	14
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q1896989	14
http://www.wikidata.org/prop/direct/P163	http://www.wikidata.org/entity/Q186516	14
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q15925165	14
http://www.wikidata.org/prop/direct/P85	http://www.wikidata.org/entity/Q23691	14
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q484652	14
http://www.wikidata.org/prop/direct/P2852	http://www.wikidata.org/entity/Q694554	13
http://www.wikidata.org/prop/direct/P1740	http://www.wikidata.org/entity/Q4167836	13
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q1065	13
http://www.wikidata.org/prop/direct/P37	http://www.wikidata.org/entity/Q1288568	13
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q43229	13
http://www.wikidata.org/prop/direct/P37	http://www.wikidata.org/entity/Q34770	13
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q732717	13
http://www.wikidata.org/prop/direct/P421	http://www.wikidata.org/entity/Q17272482	13
http://www.wikidata.org/prop/direct/P17	http://www.wikidata.org/entity/Q6256	13
http://www.wikidata.org/prop/direct/P1313	http://www.wikidata.org/entity/Q294414	12
http://www.wikidata.org/prop/direct/P2596	http://www.wikidata.org/entity/Q19958368	12
http://www.wikidata.org/prop/direct/P47	http://www.wikidata.org/entity/Q3624078	12
http://www.wikidata.org/prop/direct/P36	http://www.wikidata.org/entity/Q5119	12
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q859563	12
http://www.wikidata.org/prop/direct/P2184	http://www.wikidata.org/entity/Q17544377	12
http://www.wikidata.org/prop/direct/P47	http://www.wikidata.org/entity/Q6256	11
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q1489259	11
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q34770	11
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q1288568	11
http://www.wikidata.org/prop/direct/P610	http://www.wikidata.org/entity/Q8502	10
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q223832	10
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q202686	10
http://www.wikidata.org/prop/direct/P910	http://www.wikidata.org/entity/Q59541917	10
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q51576574	9
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q20181813	9
http://www.wikidata.org/prop/direct/P1791	http://www.wikidata.org/entity/Q4167836	8
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q7275	8
http://www.wikidata.org/prop/direct/P2853	http://www.wikidata.org/entity/Q215292	8
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q7270	8
http://www.wikidata.org/prop/direct/P1304	http://www.wikidata.org/entity/Q66344	8
http://www.wikidata.org/prop/direct/P2959	http://www.wikidata.org/entity/Q21286738	8
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q1951661	8
http://www.wikidata.org/prop/direct/P36	http://www.wikidata.org/entity/Q1637706	8
http://www.wikidata.org/prop/direct/P237	http://www.wikidata.org/entity/Q645466	7
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q63791824	7
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q123480	7
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q975413	7
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q842112	6
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q22687	6
http://www.wikidata.org/prop/direct/P5125	http://www.wikidata.org/entity/Q1531349	6
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q1345691	6
http://www.wikidata.org/prop/direct/P36	http://www.wikidata.org/entity/Q1549591	6
http://www.wikidata.org/prop/direct/P36	http://www.wikidata.org/entity/Q515	6
http://www.wikidata.org/prop/direct/P1906	http://www.wikidata.org/entity/Q4164871	6
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q66724388	6
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q41614	6
http://www.wikidata.org/prop/direct/P5008	http://www.wikidata.org/entity/Q21025364	5
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q33384	5
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q672729	5
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q179164	5
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q4120211	5
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q1323642	5
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q83365347	5
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q33742	5
http://www.wikidata.org/prop/direct/P5008	http://www.wikidata.org/entity/Q14204246	4
http://www.wikidata.org/prop/direct/P5008	http://www.wikidata.org/entity/Q13406463	4
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q512187	4
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q34228	4
http://www.wikidata.org/prop/direct/P194	http://www.wikidata.org/entity/Q189445	4
http://www.wikidata.org/prop/direct/P194	http://www.wikidata.org/entity/Q37002670	4
http://www.wikidata.org/prop/direct/P30	http://www.wikidata.org/entity/Q2418896	4
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q13107770	4
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q49892	4
http://www.wikidata.org/prop/direct/P5658	http://www.wikidata.org/entity/Q14565197	4
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q4209223	3
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q5292	3
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q4830453	3
http://www.wikidata.org/prop/direct/P361	http://www.wikidata.org/entity/Q82794	3
http://www.wikidata.org/prop/direct/P1365	http://www.wikidata.org/entity/Q3024240	3
http://www.wikidata.org/prop/direct/P37	http://www.wikidata.org/entity/Q33742	3
http://www.wikidata.org/prop/direct/P172	http://www.wikidata.org/entity/Q41710	3
http://www.wikidata.org/prop/direct/P122	http://www.wikidata.org/entity/Q1307214	3
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q31855	3
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q83365404	3
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q3331189	2
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q849866	2
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q4120211	2
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q3623811	2
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q1335818	2
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q1048835	2
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q7210356	2
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q170156	2
http://www.wikidata.org/prop/direct/P37	http://www.wikidata.org/entity/Q152559	2
http://www.wikidata.org/prop/direct/P5658	http://www.wikidata.org/entity/Q18340392	2
http://www.wikidata.org/prop/direct/P208	http://www.wikidata.org/entity/Q7188	2
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q131569	2
http://www.wikidata.org/prop/direct/P2853	http://www.wikidata.org/entity/Q167270	2
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q83365345	2
http://www.wikidata.org/prop/direct/P206	http://www.wikidata.org/entity/Q165	2
http://www.wikidata.org/prop/direct/P47	http://www.wikidata.org/entity/Q123480	1
http://www.wikidata.org/prop/direct/P6104	http://www.wikidata.org/entity/Q21025364	1
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q45762	1
http://www.wikidata.org/prop/direct/P47	http://www.wikidata.org/entity/Q672729	1
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q38058796	1
http://www.wikidata.org/prop/direct/P47	http://www.wikidata.org/entity/Q1520223	1
http://www.wikidata.org/prop/direct/P47	http://www.wikidata.org/entity/Q7270	1
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q152559	1
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q1127126	1
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q4085712	1
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q56061	1
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q2085381	1
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q1335818	1
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q17505024	1
http://www.wikidata.org/prop/direct/P2936	http://www.wikidata.org/entity/Q83365366	1
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q51879475	1
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q16725895	1
http://www.wikidata.org/prop/direct/P36	http://www.wikidata.org/entity/Q866196	0
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q769802	0
http://www.wikidata.org/prop/direct/P610	http://www.wikidata.org/entity/Q169358	0
http://www.wikidata.org/prop/direct/P17	http://www.wikidata.org/entity/Q202686	0
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q1637706	0
http://www.wikidata.org/prop/direct/P122	http://www.wikidata.org/entity/Q183039	0
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q779415	0
http://www.wikidata.org/prop/direct/P1622	http://www.wikidata.org/entity/Q18340392	0
http://www.wikidata.org/prop/direct/P1889	http://www.wikidata.org/entity/Q23442	0
http://www.wikidata.org/prop/direct/P78	http://www.wikidata.org/entity/Q14296	0
http://www.wikidata.org/prop/direct/P530	http://www.wikidata.org/entity/Q1549591	0
http://www.wikidata.org/prop/direct/P361	http://www.wikidata.org/entity/Q17046428	0
http://www.wikidata.org/prop/direct/P17	http://www.wikidata.org/entity/Q112099	0
