Predicate	ObjectType	Count
http://www.wikidata.org/prop/direct/P1050	http://www.wikidata.org/entity/Q12136	4
http://www.wikidata.org/prop/direct/P172	http://www.wikidata.org/entity/Q28790362	4
http://www.wikidata.org/prop/direct/P39	http://www.wikidata.org/entity/Q17279032	4
http://www.wikidata.org/prop/direct/P1411	http://www.wikidata.org/entity/Q19020	4
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q19020	3
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q41254	3
http://www.wikidata.org/prop/direct/P119	http://www.wikidata.org/entity/Q39614	3
http://www.wikidata.org/prop/direct/P607	http://www.wikidata.org/entity/Q198	3
http://www.wikidata.org/prop/direct/P937	http://www.wikidata.org/entity/Q1637706	3
http://www.wikidata.org/prop/direct/P1283	http://www.wikidata.org/entity/Q1371849	3
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q62078547	3
http://www.wikidata.org/prop/direct/P5008	http://www.wikidata.org/entity/Q13406463	3
http://www.wikidata.org/prop/direct/P140	http://www.wikidata.org/entity/Q13414953	3
http://www.wikidata.org/prop/direct/P509	http://www.wikidata.org/entity/Q1931388	3
http://www.wikidata.org/prop/direct/P19	http://www.wikidata.org/entity/Q515	3
http://www.wikidata.org/prop/direct/P1532	http://www.wikidata.org/entity/Q3624078	3
http://www.wikidata.org/prop/direct/P735	http://www.wikidata.org/entity/Q202444	3
http://www.wikidata.org/prop/direct/P106	http://www.wikidata.org/entity/Q1047113	3
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q15229207	3
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q1787111	3
http://www.wikidata.org/prop/direct/P108	http://www.wikidata.org/entity/Q3918	3
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q5119	3
http://www.wikidata.org/prop/direct/P6379	http://www.wikidata.org/entity/Q207694	3
http://www.wikidata.org/prop/direct/P7763	http://www.wikidata.org/entity/Q73568642	3
http://www.wikidata.org/prop/direct/P641	http://www.wikidata.org/entity/Q31629	3
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q20006438	3
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q2003221	2
http://www.wikidata.org/prop/direct/P97	http://www.wikidata.org/entity/Q355567	2
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q902104	2
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q1321960	2
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q62049	2
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q13218391	2
http://www.wikidata.org/prop/direct/P800	http://www.wikidata.org/entity/Q207628	2
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q38033430	2
http://www.wikidata.org/prop/direct/P20	http://www.wikidata.org/entity/Q1637706	2
http://www.wikidata.org/prop/direct/P140	http://www.wikidata.org/entity/Q9174	2
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q23002039	2
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q1966910	2
http://www.wikidata.org/prop/direct/P20	http://www.wikidata.org/entity/Q1093829	2
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q45400320	2
http://www.wikidata.org/prop/direct/P106	http://www.wikidata.org/entity/Q58635633	2
http://www.wikidata.org/prop/direct/P451	http://www.wikidata.org/entity/Q5	2
http://www.wikidata.org/prop/direct/P735	http://www.wikidata.org/entity/Q11879590	2
http://www.wikidata.org/prop/direct/P551	http://www.wikidata.org/entity/Q515	2
http://www.wikidata.org/prop/direct/P241	http://www.wikidata.org/entity/Q37726	2
http://www.wikidata.org/prop/direct/P1411	http://www.wikidata.org/entity/Q15383394	2
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q13136	2
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q378427	2
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q43229	2
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q112099	2
http://www.wikidata.org/prop/direct/P1853	http://www.wikidata.org/entity/Q19831450	2
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q1525071	2
http://www.wikidata.org/prop/direct/P1038	http://www.wikidata.org/entity/Q5	2
http://www.wikidata.org/prop/direct/P166	http://www.wikidata.org/entity/Q4220917	2
http://www.wikidata.org/prop/direct/P1343	http://www.wikidata.org/entity/Q1239328	2
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q3914	2
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q1620908	1
http://www.wikidata.org/prop/direct/P69	http://www.wikidata.org/entity/Q269770	1
http://www.wikidata.org/prop/direct/P1412	http://www.wikidata.org/entity/Q436240	1
http://www.wikidata.org/prop/direct/P20	http://www.wikidata.org/entity/Q13218391	1
http://www.wikidata.org/prop/direct/P1411	http://www.wikidata.org/entity/Q618779	1
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q28171280	1
http://www.wikidata.org/prop/direct/P937	http://www.wikidata.org/entity/Q515	1
http://www.wikidata.org/prop/direct/P1340	http://www.wikidata.org/entity/Q23786	1
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q3502482	1
http://www.wikidata.org/prop/direct/P1412	http://www.wikidata.org/entity/Q45762	1
http://www.wikidata.org/prop/direct/P97	http://www.wikidata.org/entity/Q4164871	1
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q223832	1
http://www.wikidata.org/prop/direct/P1412	http://www.wikidata.org/entity/Q34049	1
http://www.wikidata.org/prop/direct/P39	http://www.wikidata.org/entity/Q355567	1
http://www.wikidata.org/prop/direct/P140	http://www.wikidata.org/entity/Q2915955	1
http://www.wikidata.org/prop/direct/P27	http://www.wikidata.org/entity/Q7270	1
http://www.wikidata.org/prop/direct/P463	http://www.wikidata.org/entity/Q414147	1
